ContractName,Year,Month,TotalPayoff
O1,2017,Jun,164999.99999999997
O1,2017,Jul,82499.99999999999
S1,2017,Jan,198300.00000000003
S1,2017,Feb,-97700
S1,2017,Mar,-97700.00000000001
O2,2018,Oct,0
O2,2018,Nov,0
O2,2018,Dec,0
O2,2019,Jan,0
O2,2019,Feb,0
O2,2019,Mar,0
O2,2019,Apr,0
O2,2019,May,0
O2,2019,Jun,0
O2,2019,Jul,0
O2,2019,Aug,0
O2,2019,Sep,0
S2,2017,Jan,1481940
S2,2017,Feb,-1042810
S2,2017,Mar,169240
S2,2017,Apr,295600
S2,2017,May,1800420
S2,2017,Jun,3521210
S2,2017,Jul,7182810
S2,2017,Aug,4339550
S2,2017,Sep,1689200
S2,2017,Oct,301989.99999999994
S2,2017,Nov,429269.99999999994
S2,2017,Dec,-34969.99999999999
S2,2018,Jan,12339910
S2,2018,Feb,515439.99999999994
S2,2018,Mar,1194750
S2,2018,Apr,1816500
S2,2018,May,10643770
S2,2018,Jun,6632560
S2,2018,Jul,43128530
S2,2018,Aug,7888670
S2,2018,Sep,4535740
S2,2018,Oct,6721420
S2,2018,Nov,7369120
S2,2018,Dec,6966000
